name,location,acp_code,region,rank
Randonneurs Andalucia,Sevilla,ES111793,an,1
C.C. Chamartín,Madrid,ES011194,ma,2
CC. AMIGOS DE LA BICI (14),Salamanca,ES011173,cl,3
Bike calaf.cat,Calaf,ES111276,ca,4
CC YEPES,Yepes,ES111126,cm,5
Club Pedal Belori,Palma Mallorca,ES111562,ba,6
Randonneurs del Azahar,Cordoba,ES111673,an,7
Club Ciclista Oscense,Huesca,ES011106,ar,8
BIKING POINT CC,Barcelona,ES111564,ca,9
CC.ARAGONES (4),Zaragoza,ES011117,ar,10
c.c.ripollet,Ripollet,ES011161,ca,11
ESPORT CICLISTA MANRESA,Manresa,ES011113,ca,12
Club Ciclista Tàrrega,Tàrrega,ES111534,ca,13
SPRINT BIKE CC,S. Feliu Llob.,ES111461,ca,14
E.C. CALDERI,Caldes d Malavella,ES111526,ca,15
Penya Ciclista Sencelles,Mallorca,ES111607,ba,16
Sociedad Ciclista Vitoriana,Gasteiz,ES011237,va,17
C. C. RIAZOR (10),A Coruña,ES111258,ga,18
AD Pedales,Unknown,ES111680,ma,19
P.C. Real Sitio Aranjuez,Aranjuez,ES111302,ma,20
CC PEDREGUER (12),Pedreguer,ES111163,vl,21
CC CICLOWORK,Madrid,ES111099,ma,22
CC Cim Moià,Moià,ES011129,ca,23
Moskito Bikers,Unknown,ES111682,ma,24
Palau-Solità i Plehamans,Palau-Solita,ES111639,ca,25
Astorga Randonneurs,Astorga,ES111810,cl,26
Club Ciclista Santa Isabel,Unknown,ES111735,ar,27
PC MASSAMAGREL,Massamagrell,ES111114,vl,28
CC RIVAS,Madrid,ES111123,ma,29
Club C La Purisima,Barriomar,ES111602,mu,30
CC PAKEFTE,Madrid,ES111387,ma,31
Esport Ciclista Català,Barcelona,ES011121,ca,32
Gordexola. C.C,Bilbao,ES011204,va,33
Club Ciclista TresCantos,Madrid,ES011193,ma,34
SC Ateneu Pop. La Fuliola,La Fuliola,ES111553,ca,35
SP ROCAFORT DE QUERALT,Rocafort d Queralt,ES111216,ca,36
P. C. Bonavista (1-7),Manresa,ES011101,ca,37
SCC POBLA,Pobla de Segur,ES111207,ca,38
Peña Ciclista El Rail,Valencia,ES111107,vl,39
Club Deportivo Ciclocubin,Castillo de Locubin,ES111359,an,40
ILLES CICLYNG CLUB,Unknown,ES111774,ba,41
Cartagena Club Ciclista,Cartagena,ES111640,mu,42
Cronobike Altea,Altea,ES111710,vl,43
Penya Ciclista Cambrils,Cambrils,ES011160,ca,44
C.C. Alcover,Alcover,ES111559,ca,45
Club Ciclista Barbastro,Barbastro,ES111520,ar,46
SDC Palma,Palma Mallorca,ES111584,ba,47
Grupo C. San Agustin,Avilés,ES111145,as,48
GDC PUEBLO NUEVO (3-9),Madrid,ES111098,ma,49
Alibike CC Alicante,Alacant,ES111669,vl,50
C. C. Banyeres de Mariola,Banyeres,ES111104,vl,51
CC Sax,Sax,ES111609,ga,52
Penya Pedal Bellpuig,Bellpuig,ES111495,ca,53
Unio Ciclista BDN 5311,Badalona,ES111679,ca,54
Alguaire Club Ciclista,Alguaire,ES111637,ca,55
Randonneurs Murcia,Murcia,ES111670,mu,56
El Repetxó Club Ciclista,Unknown,ES111700,ca,57
Club Ciclista Mesoiro,Unknown,ES111715,ga,58
Unió Ciclista Vilanova,Unknown,ES111471,ca,59
ONVELO Mataró C .C.,Mataró,ES111702,ca,60
C Maraton Guadalajara,Guadalajara,ES111642,cl,61
Cicloturistas Isla Mallorca,Palma Mallorca,ES111583,ba,62
C.C.ROSELIN,Madrid,ES111694,ma,63
Open Natura C Esportiu BTT,Unknown,ES111703,ca,64
CC ENBIZZI Zaragoza,Zaragoza,ES111402,ar,65
CC Lavapies/Huete,Madrid,ES111718,ma,66
Peña C. Priorat,Falset,ES111244,ca,67
El Pedal Aragones,Unknown,ES111780,ar,68
C.C. IBERIA,Zaragoza,ES011105,ar,69
Randonneurs Madrid,Madrid,ES111800,ma,70
MTB VIELA E CHAVETIA,Unknown,ES111772,ga,71
U.C. CARCAIXENT,Carcaixent,ES011104,vl,72
CC SANT CELONI,Sant Celoni,ES111093,ca,73
Els Ferrerets de Mallorca,Mallorca,ES111238,ba,74
BEL SABINA Castelldefels,Castelldefels,ES111685,ca,75
Arenys de Mar Club Ciclista,Arenys de Mar,ES111815,ca,76
La Garriga Club Ciclista,La Garriga,ES111804,ca,77
CC ALBAIDENSE,Albaida,ES111698,vl,78
Club Ciclita Mun Bikes,Unknown,ES111587,ca,79
Amigos por la Bici,Toledo,ES111182,ma,80
Fesbici3.0,Unknown,ES111759,ca,81
CC Rat-Penat,Unknown,ES111196,ca,82
P C EDELWEISS,Sabiñanigo,ES011192,ar,83
BICILOKURA,Unknown,ES011304,va,84
Cycling Club Sallent,Sallent,ES111783,ca,85
NOITEBRA FC,Unknown,ES111798,ga,86
GENESIS CYCLING TEAM,Barcelona,ES111643,ca,87
CC Alen Bikes,Unknown,ES111088,ar,88
C.C.VALLECANO,Madrid,ES111124,ma,89
Chimeneas Elx Club Ciclista,Elx,ES111814,vl,90
Unió Ciclista TREMP,Tremp,ES111352,ca,91
PCLA Lute Anguita Club Ciclista,Boadilla del Monte,ES111813,ma,92
CC SEDAVI,València,ES111164,vl,93
MONCADA CC,Unknown,ES111365,ca,94
Penya Ciclista Poble Nou,Barcelona,ES011115,ca,95
Unio C Sant Cugat,Sant Cugat,ES111522,ca,96
Club Cicclista Vicálvaro,Vicálvaro,ES111826,ma,97
C.C. Castellbisbal,Castellbisbal,ES111728,ca,98
Club Ciclista ribeiras do Miño,Unknown,ES111749,ga,99
SC GRACIA,Barcelona,ES011153,ca,100
CC HUARTE,Unknown,ES111832,ar,101
P.C. Navarcles,Navarcles,ES011120,ca,102
Peña Cicloturista Huesca,Huesca,ES111510,ar,103
BTTEROS Club Ciclista,Unknown,ES111572,ca,104
NO LIMITS Valles CC,Unknown,ES111697,ca,105
Escuela Ciclista Zaragoza,Zaragoza,ES111830,ar,106
Club Ciclista Utebo,Unknown,ES111349,ar,107
CC Benaixama,Benaixama,ES111119,vl,108
EC Sant Andreu,Barcelona,ES111195,ca,109
Union Ciclista Zaragoza,Zaragoza,ES111791,ar,110
Elios Ferro Triatlon Team,Unknown,ES111776,an,111
Sons and bikes CC,Molins de Rei,ES111817,ca,112
Artanenc Club Ciclista,Artà,ES111632,ba,113
CE PALMARUNNERS,Palma Mallorca,ES111799,ba,114
Marraskilo negartiak tk,Unknown,ES011296,va,115
BTTZARAGOZA CC,Zaragoza,ES111844,ar,116
CC RIPOLL,Ripoll,ES111241,ca,117
C Excurs. L'Hospitalet,Hospitalet Llob.,ES011133,ca,118
Rocabikes Club,Unknown,ES111460,ca,119
AC MONTJUIC,Barcelona,ES011148,ca,120
Guisona Club Ciclista,Guisona,ES111638,ca,121
Bici Muntanya El Papiol,El Papiol,ES111475,ca,122
BICISPRINT,Unknown,ES111211,ca,123
bici 3.0,Tàrrega,ES111835,ca,124
Los GAVILANES,Unknown,ES111795,vl,125
CC Navas del Rey,Navas del Rey,ES111812,ma,126
CC ESPARRAGUERA,Esparraguera,ES011144,ca,127
CC TARRAGONI,Unknown,ES111055,ca,128
CDC DOÑA MENCIA,Doña Mencia,ES111705,an,129
CD BOMBERS Barcelona,Barcelona,ES011137,ca,130
E.C. VALLS,Valls,ES111530,ca,131
Club Ciclista Agramunt,Agramunt,ES111478,ca,132
CLUB CICLISTA ROSES,Roses,ES111786,ca,133
Centelles Penya Ciclista,Centelles,ES111568,ca,134
COMPLUTUM Triatlon CC,Alcalá de Henares,ES111820,ma,135
Sant Julià de Vilatorta Club Ciclista CALMA,,ES111393,ca,136
CC Sant Andreu de la Barca,Sant Andreu,ES111391,ca,137
RCR19,Unknown,ES111692,ca,138
Niuwave Bicicletes Club Esportiu,Unknown,ES111819,ba,139
Club Ciclista Zufariense,Zuera,ES111828,ar,140
PC MUSEROS,Museros,ES011118,vl,141
Unio Ciclista Les Franqueses,Les Franqueses,ES111732,ca,142
CC EBRO-ALMUDEVAR,Almudevar,ES011165,ar,143
Sant Vicenç Castellet CC Sant Vicenç de Castellet,,ES111246,ca,144
"TUBULAR, CC",Unknown,ES111649,ar,145
Illes Balears Club Ciclista,Unknown,ES111818,ba,146
PC BONS AMICS,Unknown,ES111660,ca,147
CC BURJAZUD,Bujaraloz,ES111667,ar,148
Club Ciclista El Vilosell,El Vilosell,ES111740,ca,149
CC GALVESPORT,Unknown,ES111134,ca,150
Club Ciclista Valtueña,Unknown,ES111479,an,151
RR Bikes Club,Unknown,ES111755,ca,152
Ironbikes Racing Team CC,Unknown,ES111769,vl,153
Club Ciclista Arenal,Unknown,ES111619,ba,154
VELODROM STUDIO CC,Unknown,ES111652,ca,155
CC GALAPAGAR,Galapagar,ES111403,ma,156
Veterans Catalunya,Unknown,ES111635,ca,157
C.C. CORRECAMINOS,Lugo,ES111651,ga,158
BICIAT PARETS,Parets del Vallés,ES111803,ca,159
Ai Colau Club Esportiu,Unknown,ES111843,ba,160
CC Ejea de los Caballeros,Ejea,ES111539,ar,161
PC MUNDO Cardona,Cardona,ES011111,ca,162
PC DURANA,Unknown,ES011203,va,163
CC PEDROLA,Unknown,ES111833,ar,164
Sant Boi de Llobregat CC Sant Boi,,ES011119,ca,165
CC Ciempozuelos,Ciempozuelos,ES111289,ma,166
CEGUB,Unknown,ES111417,ca,167
MAMMONTH MOUNTAIN BIKES,Unknown,ES111444,ma,168
NOSPORT LIMIT TREC GALIZIA,Unknown,ES111557,ga,169
GALIBIKERS RUBI CC,Rubí,ES111785,ca,170
Chatarras Torrevieja CD MTB,Torrevieja,ES111839,vl,171
A RITME DE PEDAL,Unknown,ES111845,ca,172
Cluc Ciclista Camp Clar,Tarragona,ES011198,ca,173
CC Platja d'Aro,Platja d'Aro,ES111061,ca,174
Peña Guara Huesca,Unknown,ES111542,ar,175
SANTFELIUENC CC,Sant Feliu Llob.,ES111688,ca,176
C.C. PORTEÑA,Unknown,ES111166,vl,177
CC SA POBLA,Unknown,ES111331,ba,178
CC Calamocha,Unknown,ES111519,ar,179
CC TORREJON,Torrejon de Ardoz,ES111612,ma,180
CC Fuentes de Ebro,Unknown,ES111789,ar,181
A.C. Sant Just,Sant Just Desvern,ES011124,ca,182
C.C. Gironella,Gironella,ES011132,ca,183
CC ACTUR,Zaragoza,ES111082,ar,184
CC ALUCHE,Aluche,ES111102,ma,185
P.C. QUINTENA,A Coruña,ES111150,ga,186
Club Ciclista Collblanc,Barcelona,ES111156,ca,187
CC ROBER BOSCH,Unknown,ES111176,ma,188
CC Parets,Parets del Vallés,ES111202,ca,189
Molins de Rei Club Ciclista,Molins de Rei,ES111206,ca,190
LIOSIL,Unknown,ES111256,cl,191
Club Ciclista Vallès,Unknown,ES111270,ca,192
Triatlon Coruña,Coruña,ES111339,ga,193
MTB Leganés,Leganés,ES111484,ma,194
CC FRAGA,Fraga,ES111538,ar,195
Club Ciclista BULLAS,Bullas,ES111574,mu,196
CC Sant Joan Despí,Sant Joan Despí,ES111581,ca,197
Club Deportivo Sobrerruedas,Madrid,ES111721,ma,198
POCMA Villasequilla,Villasequilla Yepes,ES111808,cm,199
Addict Bike Team C.E.,Unknown,ES111840,ca,200
CORBIKE club ciclista,Unknown,ES111841,ca,201
La Familia BTT,Unknown,ES111842,ca,202
